,Accuracy,Topology,Activation,Alpha,Lambda,Epochs,Batch Size
52,0.6223222222222222,[784  10],softmax,0.47,0.9,360,40
12,0.6213444444444445,[784  10  10],tanh,0.77,0.8,180,50
98,0.6139833333333333,[784  11  10],relu,0.7100000000000001,0.8,280,90
72,0.6105555555555555,[784  30  10],tanh,0.48,0.5,30,20
40,0.6082055555555556,[784  30  10],relu,0.8200000000000001,0.7000000000000001,40,90
88,0.6061222222222222,[784  10],softmax,0.8300000000000001,0.7000000000000001,490,60
22,0.6018055555555556,[784  10],relu,0.93,0.3,250,60
181,0.5901944444444445,[784  30  10],tanh,1.35,0.3,30,50
94,0.5791444444444445,[784  30  10],tanh,1.32,1.5000000000000002,30,80
171,0.5767777777777777,[784 100  10],tanh,0.62,1.8000000000000005,30,40
23,0.5762277777777778,[784 100  10],relu,0.29,2.4000000000000004,40,30
103,0.5746666666666667,[784  10],softmax,0.8300000000000001,0.1,190,20
11,0.5706833333333333,[784  60  10],tanh,0.94,0.3,40,30
102,0.5641,[784  10  10],relu,0.33,0.7000000000000001,340,20
14,0.5620333333333334,[784  10],softmax,0.66,0.8,300,50
108,0.5595388888888889,[784  30  10],relu,0.22,2.6,20,30
68,0.5545277777777777,[784  10],softmax,0.54,0.6,210,30
97,0.5532555555555555,[784  10],tanh,0.86,0.3,180,40
4,0.5526277777777778,[784  11  10],relu,0.63,0.6,160,70
42,0.5433388888888889,[784  30  10],tanh,0.67,2.8000000000000003,30,60
59,0.5375333333333333,[784 100  10],tanh,0.31,0.4,20,10
81,0.5281555555555556,[784  30  10],tanh,1.26,0.9,40,80
20,0.5257,[784  11  10],relu,0.6,0.4,210,40
76,0.5236888888888889,[784  10],relu,0.8,0.5,400,40
21,0.5224166666666666,[784  11  10],tanh,0.51,0.8,130,20
17,0.5156277777777778,[784 100  10],tanh,1.37,0.4,30,70
142,0.50645,[784  30  10],tanh,0.76,1.7000000000000002,20,40
191,0.4990666666666666,[784 100  10],relu,0.11,1.1,30,10
133,0.4887833333333333,[784 100  10],tanh,0.72,2.3000000000000003,20,50
40,0.4883833333333333,[784  10],softmax,0.62,0.9,440,30
2,0.4728777777777778,[784  10],softmax,0.98,0.8,150,60
19,0.4720111111111111,[784  10  10],tanh,0.95,0.6,190,30
42,0.4689222222222222,[784  10],relu,0.8400000000000001,0.7000000000000001,220,20
25,0.46845,[784  30  10],tanh,0.99,0.9,10,40
81,0.4679777777777777,[784  60  10],tanh,0.32,0.7000000000000001,50,10
63,0.45265,[784  10],softmax,0.93,0.8,270,40
178,0.43795,[784 100  10],relu,0.35,1.6,30,20
39,0.4325333333333333,[784  60  10],tanh,0.42,0.4,50,10
78,0.4291611111111111,[784  10  10],softmax,0.26,0.1,280,50
